module,command_type,mvc_command_name,file
server,action,/server_admin/edit_server,liferay-2026.q2.0/modules/apps/server/server-admin-web-test/src/testIntegration/java/com/liferay/server/admin/web/internal/portlet/action/test/EditServerMVCActionCommandTest.java
server,action,/server_admin/view_chart,liferay-2026.q2.0/modules/apps/server/server-admin-web/src/main/java/com/liferay/server/admin/web/internal/portlet/action/ViewChartMVCResourceCommand.java
server,action,/server_admin/edit_server,liferay-2026.q2.0/modules/apps/server/server-admin-web/src/main/java/com/liferay/server/admin/web/internal/portlet/action/EditServerMVCActionCommand.java
server,action,/server_admin/edit_document_library_extra_settings,liferay-2026.q2.0/modules/apps/server/server-admin-web/src/main/java/com/liferay/server/admin/web/internal/portlet/action/EditDocumentLibraryExtraSettingsMVCActionCommand.java
export-import,action,/export_import_changeset/export_import_changeset,liferay-2026.q2.0/modules/apps/export-import/export-import-changeset-web/src/main/java/com/liferay/exportimport/changeset/web/internal/portlet/action/ExportImportChangesetMVCActionCommand.java
export-import,action,/export_import/delete_layout_import_background_tasks,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/DeleteLayoutImportBackgroundTasksMVCActionCommand.java
export-import,action,/export_import/publish_portlet,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/PublishPortletMVCActionCommand.java
export-import,action,/export_import/publish_layouts,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/PublishLayoutsMVCActionCommand.java
export-import,action,/export_import/import_layouts,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ImportLayoutsMVCActionCommand.java
export-import,action,/export_import/export_import,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ExportImportMVCResourceCommand.java
export-import,action,/export_import/export_layouts,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ExportLayoutsMVCActionCommand.java
export-import,action,/export_import/edit_export_configuration,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/EditExportConfigurationMVCResourceCommand.java
export-import,action,/export_import/import_layouts,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ImportLayoutsMVCResourceCommand.java
export-import,action,/export_import/delete_layout_export_background_tasks,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/DeleteLayoutExportBackgroundTasksMVCActionCommand.java
export-import,action,/export_import/delete_portlet_background_task,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/DeletePortletBackgroundTaskMVCActionCommand.java
export-import,action,/export_import/edit_publish_configuration,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/EditPublishConfigurationMVCActionCommand.java
export-import,action,/export_import/publish_portlet,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/PublishPortletMVCResourceCommand.java
export-import,action,/export_import/export_layouts,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ExportLayoutsMVCResourceCommand.java
export-import,action,/export_import/export_import,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/ExportImportMVCActionCommand.java
export-import,action,/export_import/edit_export_configuration,liferay-2026.q2.0/modules/apps/export-import/export-import-web/src/main/java/com/liferay/exportimport/web/internal/portlet/action/EditExportConfigurationMVCActionCommand.java
translation,action,/translation/import_translation,liferay-2026.q2.0/modules/apps/translation/translation-web/src/main/java/com/liferay/translation/web/internal/portlet/action/ImportTranslationMVCActionCommand.java
translation,action,/translation/delete_translation_entry,liferay-2026.q2.0/modules/apps/translation/translation-web/src/main/java/com/liferay/translation/web/internal/portlet/action/DeleteTranslationEntryMVCActionCommand.java
translation,action,/translation/update_translation,liferay-2026.q2.0/modules/apps/translation/translation-web/src/main/java/com/liferay/translation/web/internal/portlet/action/UpdateTranslationMVCActionCommand.java
translation,action,/translation/update_translation,liferay-2026.q2.0/modules/apps/translation/translation-test/src/testIntegration/java/com/liferay/translation/web/internal/portlet/action/test/UpdateTranslationMVCActionCommandTest.java
blogs,action,/blogs/image_editor,liferay-2026.q2.0/modules/apps/blogs/blogs-web/src/main/java/com/liferay/blogs/web/internal/portlet/action/UploadImageMVCActionCommand.java
blogs,action,/blogs/trackback,liferay-2026.q2.0/modules/apps/blogs/blogs-web/src/main/java/com/liferay/blogs/web/internal/portlet/action/TrackbackMVCActionCommand.java
blogs,action,/blogs/upload_cover_image,liferay-2026.q2.0/modules/apps/blogs/blogs-web/src/main/java/com/liferay/blogs/web/internal/portlet/action/UploadTempImageMVCActionCommand.java
blogs,action,/blogs/publish_entry,liferay-2026.q2.0/modules/apps/blogs/blogs-web/src/main/java/com/liferay/blogs/web/internal/portlet/action/PublishEntryMVCActionCommand.java
blogs,action,/blogs/edit_entry,liferay-2026.q2.0/modules/apps/blogs/blogs-web/src/main/java/com/liferay/blogs/web/internal/portlet/action/EditEntryMVCActionCommand.java
image-uploader,action,/image_uploader/upload_image,liferay-2026.q2.0/modules/apps/image-uploader/image-uploader-web/src/main/java/com/liferay/image/uploader/web/internal/portlet/action/UploadImageMVCActionCommand.java
image-uploader,action,/image_uploader/upload_image,liferay-2026.q2.0/modules/apps/image-uploader/image-uploader-web/src/main/java/com/liferay/image/uploader/web/internal/portlet/action/UploadImageMVCResourceCommand.java
journal,action,/journal/delete_articles,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/DeleteArticlesMVCActionCommandTest.java
journal,action,/journal/add_article,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/UpdateArticleMVCActionCommandTest.java
journal,action,/journal/save_as_draft_article,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/SaveAsDraftArticleMVCActionCommandTest.java
journal,action,/journal/import_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/ImportDataDefinitionMVCActionCommandTest.java
journal,action,/journal/add_data_engine_default_values,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/UpdateDataEngineDefaultValuesMVCActionCommandTest.java
journal,action,/journal/import_and_override_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/ImportAndOverrideDataDefinitionMVCActionCommandTest.java
journal,action,/journal/update_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/UpdateDataDefinitionMVCActionCommandTest.java
journal,action,/journal/export_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/ExportDataDefinitionMVCActionCommandTest.java
journal,action,/journal/auto_save_article,liferay-2026.q2.0/modules/apps/journal/journal-test/src/testIntegration/java/com/liferay/journal/web/internal/portlet/action/test/AutoSaveArticleMVCResourceCommandTest.java
journal,action,/journal/rss,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/RSSMVCResourceCommand.java
journal,action,/journal/move_folder_to_trash,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/MoveFolderToTrashMVCActionCommand.java
journal,action,/journal/update_feed,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UpdateFeedMVCActionCommand.java
journal,action,/journal/unsubscribe_folder,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UnsubscribeFolderMVCActionCommand.java
journal,action,/journal/delete_article,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DeleteArticlesMVCActionCommand.java
journal,action,/journal/import_and_override_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ImportAndOverrideDataDefinitionMVCActionCommand.java
journal,action,/journal/delete_articles_and_folders,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DeleteArticlesAndFoldersMVCActionCommand.java
journal,action,/journal/unsubscribe_ddm_structure,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UnsubscribeDDMStructureMVCActionCommand.java
journal,action,/journal/unsubscribe_article,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UnsubscribeArticleMVCActionCommand.java
journal,action,/journal/move_articles_and_folders,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/MoveArticlesAndFoldersMVCActionCommand.java
journal,action,/journal/remove_menu_fav_item,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/RemoveMenuFavItemMVCActionCommand.java
journal,action,/journal/delete_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DeleteDataDefinitionMVCActionCommand.java
journal,action,/journal/add_ddm_template,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/AddDDMTemplateMVCActionCommand.java
journal,action,/journal/image_editor,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UploadImageMVCActionCommand.java
journal,action,/journal/move_to_trash,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/MoveToTrashMVCActionCommand.java
journal,action,/journal/copy_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/CopyDataDefinitionMVCActionCommand.java
journal,action,/journal/update_ddm_template,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UpdateDDMTemplateMVCActionCommand.java
journal,action,/journal/add_feed,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/AddFeedMVCActionCommand.java
journal,action,/journal/subscribe_article,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/SubscribeArticleMVCActionCommand.java
journal,action,/journal/update_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UpdateDataDefinitionMVCActionCommand.java
journal,action,/journal/change_articles_permissions,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ChangeArticlesPermissionsMVCActionCommand.java
journal,action,/journal/add_data_engine_default_values,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UpdateDataEngineDefaultValuesMVCActionCommand.java
journal,action,/journal/delete_folder,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DeleteFolderMVCActionCommand.java
journal,action,/journal/expire_articles_and_folders,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ExpireArticlesAndFoldersMVCActionCommand.java
journal,action,/journal/update_workflow_definitions,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/UpdateWorkflowDefinitionsMVCActionCommand.java
journal,action,/journal/revert_article,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/RevertArticleMVCActionCommand.java
journal,action,/journal/compare_versions,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/CompareVersionsMVCResourceCommand.java
journal,action,/journal/subscribe_folder,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/SubscribeFolderMVCActionCommand.java
journal,action,/journal/discard_article_draft,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DiscardArticleDraftMVCActionCommand.java
journal,action,/journal/expire_articles,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ExpireArticlesMVCActionCommand.java
journal,action,/journal/import_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ImportDataDefinitionMVCActionCommand.java
journal,action,/journal/save_as_draft_article,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/SaveAsDraftArticleMVCActionCommand.java
journal,action,/journal/export_data_definition,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ExportDataDefinitionMVCResourceCommand.java
journal,action,/journal/reset_values_ddm_structure,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/ResetValuesDDMStructureMVCActionCommand.java
journal,action,/journal/get_ddm_structure,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/GetDDMStructureMVCResourceCommand.java
journal,action,/journal/delete_feeds,liferay-2026.q2.0/modules/apps/journal/journal-web/src/main/java/com/liferay/journal/web/internal/portlet/action/DeleteFeedsMVCActionCommand.java
