query,module,sink_file,sink_line
"Server-side request forgery","security_review","/security_review/src/Plugin/SecurityCheck/Headers.php","73"
"Reflected XSS","seckit","/seckit/src/Controller/SeckitExportController.php","83"
"Path traversal","simple_oauth","/simple_oauth/src/Service/Filesystem/FileSystemChecker.php","44"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart.php","52"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart2.php","48"
"Path traversal","sparkline","/sparkline/sparklib/samples/stock_chart3.php","45"
"Path traversal","pacs","/pacs/pacs_xml.inc","129"
"Path traversal","symfony_mailer","/symfony_mailer/src/Processor/automatic/AttachmentAccessEmailProcessor.php","63"
"Reflected XSS","tablemanager","/tablemanager/includes/tables.inc","378"
"Path traversal","taxonomy_xml","/taxonomy_xml/services/local.taxonomy_service.inc","79"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","413"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","478"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","501"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","503"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","528"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","545"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","552"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","586"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","602"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","610"
"Path traversal","theme_editor","/theme_editor/theme_editor.inc","611"
"Path traversal","tinymce","/tinymce/src/Controller/TinyMCEController.php","33"
"Path traversal","statichtml","/statichtml/static.php","6"
"Path traversal","sso","/sso/singlesignon.inc","252"
"Reflected XSS","sso","/sso/singlesignon.inc","243"
"Server-side request forgery","trackback","/trackback/trackback.ping.inc","31"
"Path traversal","troll","/troll/troll.admin.inc","290"
"Reflected XSS","trackback","/trackback/trackback.ping.inc","22"
"Path traversal","wghtml","/wghtml/wghtml/class_wghtml.php","203"
"Path traversal","wghtml","/wghtml/wghtml/class_wghtml.php","215"
"Reflected XSS","wghtml","/wghtml/wghtml/class_wghtml.php","246"
"Reflected XSS","xmlsitemap","/xmlsitemap/src/XmlSitemapLinkStorage.php","194"
"Reflected XSS","xmlsitemap","/xmlsitemap/src/XmlSitemapLinkStorage.php","197"
"Reflected XSS","xmlsitemap","/xmlsitemap/src/XmlSitemapLinkStorage.php","204"
"SQL injection","views","/views/includes/view.inc","889"
"Code injection","views","/views/includes/admin.inc","2148"
"Path traversal","webform","/webform/modules/webform_submission_export_import/src/Form/WebformSubmissionExportImportUploadForm.php","275"
"Path traversal","webform","/webform/modules/webform_submission_export_import/tests/src/Functional/WebformSubmissionImportExportFunctionalTest.php","59"
"Reflected XSS","views","/views/test_templates/views-view--frontpage.tpl.php","30"
"Reflected XSS","views","/views/theme/views-ui-display-tab-bucket.tpl.php","8"
"Reflected XSS","views","/views/theme/views-ui-display-tab-setting.tpl.php","8"
"Reflected XSS","views","/views/theme/views-view-table.tpl.php","23"
"Reflected XSS","views","/views/theme/views-view.tpl.php","30"
"Reflected XSS","voting","/voting/update-voting.php","23"
"SQL injection","zina","/zina/zina/database-mysql.php","17"
"SQL injection","zina","/zina/zina/database-mysqli.php","20"
"SQL injection","zina","/zina/zina/database-pgsql.php","32"
"Code injection","zina","/zina/zina/index.php","994"
"Code injection","zina","/zina/zina/index.php","4265"
"Code injection","zina","/zina/zina/index.php","4291"
"Code injection","zina","/zina/zina/index.php","4304"
"Command injection","zina","/zina/zina/index.php","6544"
"Command injection","zina","/zina/zina/index.php","6547"
"Unsafe deserialization","zina","/zina/zina/common.php","349"
"Unsafe deserialization","zina","/zina/zina/common.php","351"
"File inclusion","zina","/zina/zina/index.php","173"
"File inclusion","zina","/zina/zina/index.php","195"
"File inclusion","zina","/zina/zina/index.php","226"
"File inclusion","zina","/zina/zina/index.php","610"
"File inclusion","zina","/zina/zina/index.php","616"
"File inclusion","zina","/zina/zina/index.php","991"
"File inclusion","zina","/zina/zina/index.php","1340"
"File inclusion","zina","/zina/zina/index.php","7712"
"File inclusion","zina","/zina/zina/index.php","7715"
"File inclusion","zina","/zina/zina/index.php","7717"
"Path traversal","zina","/zina/zina/common.php","379"
"Path traversal","zina","/zina/zina/common.php","404"
"Path traversal","zina","/zina/zina/common.php","477"
"Path traversal","zina","/zina/zina/common.php","505"
"Path traversal","zina","/zina/zina/common.php","507"
"Path traversal","zina","/zina/zina/common.php","515"
"Path traversal","zina","/zina/zina/database.php","1496"
"Path traversal","zina","/zina/zina/database.php","1501"
"Path traversal","zina","/zina/zina/extras/getid3/getid3.php","198"
"Path traversal","zina","/zina/zina/extras/getid3/getid3.php","205"
"Path traversal","zina","/zina/zina/extras/help.php","52"
"Path traversal","zina","/zina/zina/index.php","136"
"Path traversal","zina","/zina/zina/index.php","352"
"Path traversal","zina","/zina/zina/index.php","387"
"Path traversal","zina","/zina/zina/index.php","509"
"Path traversal","zina","/zina/zina/index.php","525"
"Path traversal","zina","/zina/zina/index.php","531"
"Path traversal","zina","/zina/zina/index.php","597"
"Path traversal","zina","/zina/zina/index.php","753"
"Path traversal","zina","/zina/zina/index.php","775"
"Path traversal","zina","/zina/zina/index.php","855"
"Path traversal","zina","/zina/zina/index.php","904"
"Path traversal","zina","/zina/zina/index.php","1307"
"Path traversal","zina","/zina/zina/index.php","1364"
"Path traversal","zina","/zina/zina/extras/tag_editor.php","537"
"Path traversal","zina","/zina/zina/extras/tag_editor.php","651"
"Path traversal","zina","/zina/zina/index.php","1745"
"Path traversal","zina","/zina/zina/index.php","1770"
"Path traversal","zina","/zina/zina/index.php","1785"
"Path traversal","zina","/zina/zina/index.php","3016"
"Path traversal","zina","/zina/zina/index.php","3273"
"Path traversal","zina","/zina/zina/index.php","3407"
"Path traversal","zina","/zina/zina/index.php","3538"
"Path traversal","zina","/zina/zina/index.php","4825"
"Path traversal","zina","/zina/zina/index.php","4910"
"Path traversal","zina","/zina/zina/index.php","5024"
"Path traversal","zina","/zina/zina/index.php","5029"
"Path traversal","zina","/zina/zina/index.php","5050"
"Path traversal","zina","/zina/zina/index.php","5127"
"Path traversal","zina","/zina/zina/index.php","5200"
"Path traversal","zina","/zina/zina/index.php","5540"
"Path traversal","zina","/zina/zina/index.php","5825"
"Path traversal","zina","/zina/zina/index.php","5848"
"Path traversal","zina","/zina/zina/index.php","6089"
"Path traversal","zina","/zina/zina/index.php","6264"
"Path traversal","zina","/zina/zina/index.php","6701"
"Path traversal","zina","/zina/zina/index.php","6825"
"Path traversal","zina","/zina/zina/index.php","6828"
"Path traversal","zina","/zina/zina/index.php","6829"
"Path traversal","zina","/zina/zina/index.php","6839"
"Path traversal","zina","/zina/zina/index.php","6847"
"Path traversal","zina","/zina/zina/index.php","6855"
"Path traversal","zina","/zina/zina/index.php","6954"
"Path traversal","zina","/zina/zina/index.php","7018"
"Path traversal","zina","/zina/zina/index.php","7268"
"Path traversal","zina","/zina/zina/index.php","7290"
"Path traversal","zina","/zina/zina/index.php","7755"
"Reflected XSS","zina","/zina/zina/index.php","429"
"Reflected XSS","zina","/zina/zina/index.php","518"
"Reflected XSS","zina","/zina/zina/index.php","538"
"Reflected XSS","zina","/zina/zina/index.php","619"
"Reflected XSS","zina","/zina/zina/index.php","976"
"Reflected XSS","zina","/zina/zina/index.php","1007"
"Reflected XSS","zina","/zina/zina/index.php","3745"
"Reflected XSS","zina","/zina/zina/index.php","3747"
"Reflected XSS","zina","/zina/zina/index.php","6162"
