query,extension,sink_file,sink_line
"Path traversal","b3n_azurestorage","/b3n_azurestorage/Classes/Driver/StorageDriver.php","107"
"Path traversal","beechit_backup-restore","/beechit_backup-restore/Classes/Command/BackupCreateCommand.php","308"
"Path traversal","beechit_backup-restore","/beechit_backup-restore/Classes/Command/BackupRestoreCommand.php","510"
"SQL injection","birdcode_bc-simplerate","/birdcode_bc-simplerate/Classes/Domain/Repository/AdministrationRepository.php","76"
"Server-side request forgery","bitmotion_secure-downloads","/bitmotion_secure-downloads/Classes/UserFunctions/CheckConfiguration.php","154"
"SQL injection","blueways_bw-bookingmanager","/blueways_bw-bookingmanager/Classes/Hooks/TableListHook.php","44"
"Code injection","blueways_bw-bookingmanager","/blueways_bw-bookingmanager/Classes/Controller/Backend/EntryListModuleController.php","30"
"Code injection","blueways_bw-email","/blueways_bw-email/Classes/Domain/Model/Dto/WizardSettings.php","223"
"Code injection","brainworxx_includekrexx","/brainworxx_includekrexx/Resources/Private/krexx/src/Service/Factory/AbstractFactory.php","99"
"Path traversal","bobosch_ods-osm","/bobosch_ods-osm/Classes/Provider/Staticmap.php","87"
"Path traversal","brainappeal_campus_events_connector","/brainappeal_campus_events_connector/Classes/Import/Repository/FileRepository.php","229"
"Path traversal","brainappeal_campus_events_connector","/brainappeal_campus_events_connector/Classes/Import/Repository/FileRepository.php","237"
"Path traversal","brainappeal_campus_events_connector","/brainappeal_campus_events_connector/Classes/Import/Writer/FileWriter.php","246"
"Path traversal","brainworxx_includekrexx","/brainworxx_includekrexx/Classes/Controller/AbstractController.php","257"
"Path traversal","brainworxx_includekrexx","/brainworxx_includekrexx/Classes/Controller/AbstractController.php","260"
"Path traversal","brainworxx_includekrexx","/brainworxx_includekrexx/Classes/Controller/AjaxController.php","145"
"Unsafe deserialization","bitpatroon_support_functions","/bitpatroon_support_functions/Classes/Service/CookieService.php","81"
"Unsafe deserialization","bitpatroon_support_functions","/bitpatroon_support_functions/Classes/Service/CookieService.php","106"
"Unsafe deserialization","bitpatroon_support_functions","/bitpatroon_support_functions/Classes/Service/CookieService.php","122"
"Path traversal","bitpatroon_bpn_expiring_fe_users","/bitpatroon_bpn_expiring_fe_users/Tests/Functional/WindowsTestbase.php","73"
"Path traversal","bitpatroon_bpn_expiring_fe_users","/bitpatroon_bpn_expiring_fe_users/Tests/Functional/WindowsTestbase.php","124"
"Command injection","buepro_typo3-wise","/buepro_typo3-wise/Classes/Service/CommandService.php","33"
"Command injection","buepro_typo3-wise","/buepro_typo3-wise/Classes/Service/CommandService.php","41"
"Path traversal","buepro_typo3-wise","/buepro_typo3-wise/Classes/Service/CommandService.php","83"
"Server-side request forgery","caretaker_caretaker_instance","/caretaker_caretaker_instance/classes/class.tx_caretakerinstance_RemoteCommandConnector.php","325"
"Server-side request forgery","causal_cloudflare","/causal_cloudflare/Classes/Services/CloudflareService.php","169"
"Path traversal","causal_sphinx","/causal_sphinx/Classes/Controller/RestEditorController.php","511"
"Path traversal","causal_sphinx","/causal_sphinx/Classes/Controller/RestEditorController.php","513"
"Path traversal","causal_sphinx","/causal_sphinx/class.ext_update.php","170"
"Path traversal","causal_sphinx","/causal_sphinx/class.ext_update.php","177"
"Reflected XSS","caretaker_caretaker_instance","/caretaker_caretaker_instance/Classes/Controller/EidController.php","22"
"Reflected XSS","causal_routing","/causal_routing/Classes/Controller/EidController.php","35"
"SQL injection","chrisgruen_realty-manager","/chrisgruen_realty-manager/Classes/Domain/Repository/ObjectimmoRepository.php","77"
"SQL injection","chrisgruen_realty-manager","/chrisgruen_realty-manager/Classes/Domain/Repository/ObjectimmoRepository.php","175"
"Code injection","causal_theodia","/causal_theodia/Classes/Backend/Configuration/TCA/TheodiaCalendarSelector.php","45"
"Reflected XSS","checkitsedo_calendarize","/checkitsedo_calendarize/Classes/Controller/AbstractController.php","123"
"Reflected XSS","checkitsedo_checkitcalendarize","/checkitsedo_checkitcalendarize/Classes/Controller/AbstractController.php","120"
"Reflected XSS","chrisgruen_realty-manager","/chrisgruen_realty-manager/Classes/Controller/RealtyManagerController.php","226"
"Server-side request forgery","clickstorm_cs_cdn","/clickstorm_cs_cdn/Classes/Service/KeyCDN.php","127"
"SQL injection","codefareith_cf-google-authenticator","/codefareith_cf-google-authenticator/Documentation/API/ajax_search.php","24"
"SQL injection","communiacs_typo3-dd-googlesitemap","/communiacs_typo3-dd-googlesitemap/Classes/Generator/TtNewsSitemapGenerator.php","113"
"Reflected XSS","communiacs_typo3-dd-googlesitemap","/communiacs_typo3-dd-googlesitemap/Classes/Generator/EntryPoint.php","60"
"Unsafe deserialization","creativekallol_ck-faq","/creativekallol_ck-faq/Classes/ViewHelpers/FaqRatingViewHelper.php","59"
"Server-side request forgery","cpsit_vcc","/cpsit_vcc/Classes/Service/CommunicationService.php","551"
